epoch,train_loss,val_loss,train_acc,val_acc
1,0.6783699269294738,2.080466524163882,72.6,54.0
2,0.5566521134376526,2.6892516616980235,77.1,58.0
3,0.4764827675819397,0.6323515383402506,79.5,74.0
4,0.4069532561302185,0.8706527195374171,82.6,71.33333333333333
5,0.3880632901191711,0.6835862382253011,84.1,79.33333333333333
6,0.3184178955554962,1.0758705552419026,87.35,70.66666666666667
7,0.22201852083206178,0.6412269997596741,91.05,79.33333333333333
8,0.14837740099430083,0.5774288427829742,94.5,78.0
9,0.1251290876567364,0.5654396855831146,95.3,80.66666666666667
10,0.10209310442209243,0.5529439767201741,96.5,80.0
11,0.085109773427248,0.5625131539503734,96.95,82.0
12,0.06380615378916264,0.5990310943126679,97.6,80.66666666666667
13,0.05587315952032804,0.7566924623648326,98.15,80.66666666666667
14,0.04609756112098694,0.6779550274213155,98.7,80.0
15,0.04056613364070654,0.652329699198405,99.0,79.33333333333333
16,0.041506326600909235,0.63687810699145,98.6,83.33333333333333
17,0.044117725275456904,0.6387938968340556,98.3,82.66666666666667
18,0.04441863860934973,0.6384937723477682,98.25,82.66666666666667
19,0.04122306390851736,0.6397163538138072,98.4,82.66666666666667
20,0.037156929083168505,0.6403989438215891,98.95,82.66666666666667
21,0.040616820506751534,0.640435149272283,98.65,82.66666666666667
22,0.048593888983130454,0.6398738241195678,98.55,82.66666666666667
23,0.03853714410960674,0.6403734755516052,98.8,82.66666666666667
24,0.043984685882925985,0.6382349352041881,98.45,82.66666666666667
25,0.03424765867367387,0.6407713182767232,99.1,82.66666666666667
26,0.043608294010162356,0.6415029247601827,98.4,82.66666666666667
27,0.038244896031916144,0.6422403021653493,99.0,82.66666666666667
28,0.044196028385311364,0.6427940638860067,98.7,82.66666666666667
29,0.037837834045290945,0.6396344657739004,98.85,82.66666666666667
30,0.04171503116935492,0.6396923871835073,98.8,82.66666666666667
